Município,Província
Aguadulce,Sevilha
Alcalá de Guadaíra,Sevilha
Almendralejo,Badajoz
Almensilla,Sevilha
Antequera,Málaga
Arahal,Sevilha
Archidona,Málaga
Aroche,Huelva
Arroyo de San Serván,Badajoz
Ayamonte,Huelva
Benacazón,Sevilha
Bollullos de la Mitación,Sevilha
Bollullos Par del Condado,Huelva
Bonares,Huelva
Bormujos,Sevilha
Calzadilla de los Barros,Badajoz
Camas,Sevilha
Carmona,Sevilha
Carrión de los Céspedes,Sevilha
Cartaya,Huelva
Castilleja de la Cuesta,Sevilha
Chucena,Huelva
Córdoba,Córdoba
Coria del Río,Sevilha
Dos Hermanas,Sevilha
Écija,Sevilha
El Cuervo de Sevilla,Sevilha
El Garrobo,Sevilha
El Granado,Huelva
El Ronquillo,Sevilha
Encinasola,Huelva
Espartinas,Sevilha
Estepa,Sevilha
Fuente de Cantos,Badajoz
Fuente de Piedra,Málaga
Fuentes de Andalucía,Sevilha
Gelves,Sevilha
Gibraleón,Huelva
Guillena,Sevilha
Huelva,Huelva
Huévar del Aljarafe,Sevilha
Isla Cristina,Huelva
Jerez de la Frontera,Cádiz
La Campana,Sevilha
La Carlota,Córdoba
La Luisiana,Sevilha
La Puebla de Cazalla,Sevilha
La Rinconada,Sevilha
La Roda de Andalucía,Sevilha
Las Cabezas de San Juan,Sevilha
Lebrija,Sevilha
Lepe,Huelva
Lora de Estepa,Sevilha
Los Palacios y Villafranca,Sevilha
Los Santos de Maimona,Badajoz
Mairena del Aljarafe,Sevilha
Marchena,Sevilha
Mérida,Badajoz
Mollina,Málaga
Monesterio,Badajoz
Oliva de la Frontera,Badajoz
Osuna,Sevilha
Palomares del Río,Sevilha
Paradas,Sevilha
Paymogo,Huelva
Pedrera,Sevilha
Puebla de Guzmán,Huelva
Puebla de Sancho Pérez,Badajoz
Rosal de la Frontera,Huelva
Salteras,Sevilha
San Bartolomé de la Torre,Huelva
San Juan de Aznalfarache,Sevilha
San Juan del Puerto,Huelva
San Silvestre de Guzmán,Huelva
Sanlúcar de Guadiana,Huelva
Santa Bárbara de Casa,Huelva
Santa Olalla del Cala,Huelva
Santiponce,Sevilha
Sevilha,Sevilha
Torremejía,Badajoz
Umbrete,Sevilha
Utrera,Sevilha
Valencia del Mombuey,Badajoz
Villablanca,Huelva
Villafranca de los Barros,Badajoz
Villanueva de los Castillejos,Huelva
Villarrasa,Huelva
