Concelho,Entidade Intermunicipal,Distrito,Região
Abrantes,Médio Tejo,Santarém,Ribatejo
Águeda,Região de Aveiro,Aveiro,Beira Litoral
Albergaria-a-Velha,Região de Aveiro,Aveiro,Beira Litoral
Albufeira,Algarve,Faro,Algarve
Alcácer do Sal,Alentejo Litoral,Setúbal,Baixo Alentejo
Alcanena,Médio Tejo,Santarém,Ribatejo
Alcobaça,Oeste,Leiria,Estremadura
Alcoutim,Algarve,Faro,Algarve
Alenquer,Oeste,Lisboa,Estremadura
Aljezur,Algarve,Faro,Algarve
Aljustrel,Baixo Alentejo,Beja,Baixo Alentejo
Almada,Área Metropolitana de Lisboa,Setúbal,Estremadura
Almeida,Beiras e Serra da Estrela,Guarda,Beira Alta
Almodôvar,Baixo Alentejo,Beja,Baixo Alentejo
Alter do Chão,Alto Alentejo,Portalegre,Alto Alentejo
Alvito,Baixo Alentejo,Beja,Baixo Alentejo
Amadora,Área Metropolitana de Lisboa,Lisboa,Estremadura
Arraiolos,Alentejo Central,Évora,Alto Alentejo
Arronches,Alto Alentejo,Portalegre,Alto Alentejo
Aveiro,Região de Aveiro,Aveiro,Beira Litoral
Azambuja,Lezíria do Tejo,Lisboa,Ribatejo
Barrancos,Baixo Alentejo,Beja,Baixo Alentejo
Barreiro,Área Metropolitana de Lisboa,Setúbal,Estremadura
Beja,Baixo Alentejo,Beja,Baixo Alentejo
Benavente,Lezíria do Tejo,Santarém,Ribatejo
Bombarral,Oeste,Leiria,Estremadura
Borba,Alentejo Central,Évora,Alto Alentejo
Caldas da Rainha,Oeste,Leiria,Estremadura
Cantanhede,Região de Coimbra,Coimbra,Beira Litoral
Cartaxo,Lezíria do Tejo,Santarém,Ribatejo
Cascais,Área Metropolitana de Lisboa,Lisboa,Estremadura
Castro Marim,Algarve,Faro,Algarve
Castro Verde,Baixo Alentejo,Beja,Baixo Alentejo
Celorico da Beira,Beiras e Serra da Estrela,Guarda,Beira Alta
Coimbra,Região de Coimbra,Coimbra,Beira Litoral
Condeixa-a-Nova,Região de Coimbra,Coimbra,Beira Litoral
Constância,Médio Tejo,Santarém,Ribatejo
Crato,Alto Alentejo,Portalegre,Alto Alentejo
Cuba,Baixo Alentejo,Beja,Baixo Alentejo
Elvas,Alto Alentejo,Portalegre,Alto Alentejo
Entroncamento,Médio Tejo,Santarém,Ribatejo
Estarreja,Região de Aveiro,Aveiro,Beira Litoral
Estremoz,Alentejo Central,Évora,Alto Alentejo
Évora,Alentejo Central,Évora,Alto Alentejo
Faro,Algarve,Faro,Algarve
Ferreira do Alentejo,Baixo Alentejo,Beja,Baixo Alentejo
Figueira da Foz,Região de Coimbra,Coimbra,Beira Litoral
Fornos de Algodres,Beiras e Serra da Estrela,Guarda,Beira Alta
Gavião,Alto Alentejo,Portalegre,Alto Alentejo
Golegã,Lezíria do Tejo,Santarém,Ribatejo
Grândola,Alentejo Litoral,Setúbal,Baixo Alentejo
Guarda,Beiras e Serra da Estrela,Guarda,Beira Alta
Ílhavo,Região de Aveiro,Aveiro,Beira Litoral
Lagoa,Algarve,Faro,Algarve
Lagos,Algarve,Faro,Algarve
Leiria,Região de Leiria,Leiria,Beira Litoral
Lisboa,Área Metropolitana de Lisboa,Lisboa,Estremadura
